file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\test\java\org\apache\flink\cdc\connectors\base\source\meta\split\version4\LegacySourceSplitSerializierVersion4.java,org.apache.flink.cdc.connectors.base.source.meta.split.version4.LegacySourceSplitSerializierVersion4,class,14,17,3,14,12,1,0,41,15,0.8333333,0.0,0.0,6,6,3,3,0,0,3,0,0,0,3,3,0,3,0,0,3,0,13,71,1,2,2,0,0,1,3,16,0,16,1,0,0,1,68,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-composer\src\main\java\org\apache\flink\cdc\composer\definition\SourceDef.java,org.apache.flink.cdc.composer.definition.SourceDef,class,3,10,7,3,10,1,0,4,0,0.2857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,5,35,8,0,3,0,0,4,0,4,2,4,1,0,0,0,40,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\test\java\org\apache\flink\cdc\connectors\base\source\meta\split\SourceSplitSerializerTest.java,org.apache.flink.cdc.connectors.base.source.meta.split.SourceSplitSerializerTest$Anonymous1$Anonymous2,anonymous,1,1,0,1,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\offset\BinlogOffsetSerializer.java,org.apache.flink.cdc.connectors.mysql.source.offset.BinlogOffsetSerializer,class,5,7,2,5,2,1,0,3,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,12,2,0,0,0,0,0,0,4,0,4,0,0,0,0,22,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\main\java\org\apache\flink\cdc\connectors\oracle\OracleValidator.java,org.apache.flink.cdc.connectors.oracle.OracleValidator,class,6,8,2,6,5,1,0,11,0,0.5555556,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,2,0,3,0,0,3,0,6,26,1,0,0,1,0,5,5,8,1,8,2,0,0,0,55,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\table\Db2ReadableMetaData.java,org.apache.flink.cdc.connectors.db2.table.Db2ReadableMetaData,enum,2,3,1,2,4,1,0,3,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,0,54,3,0,0,0,0,4,1,3,0,3,0,4,0,0,57,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-kafka\src\main\java\org\apache\flink\cdc\connectors\kafka\json\debezium\DebeziumJsonSerializationSchema.java,org.apache.flink.cdc.connectors.kafka.json.debezium.DebeziumJsonSerializationSchema,class,22,24,2,22,12,1,0,26,2,0.6041667,0.0,0.0,4,1,3,1,0,0,3,0,0,0,12,4,0,12,0,0,10,0,6,78,5,0,0,2,0,8,11,19,0,18,2,0,0,0,87,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-kafka\src\main\java\org\apache\flink\cdc\connectors\kafka\json\TableSchemaInfo.java,org.apache.flink.cdc.connectors.kafka.json.TableSchemaInfo,class,14,18,4,14,27,1,0,38,3,0.5555556,0.0,0.0,6,2,4,2,0,0,4,0,0,0,3,0,0,3,0,0,3,0,7,90,8,2,0,0,0,1,2,21,1,23,2,0,0,13,46,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-sqlserver-cdc\src\test\java\org\apache\flink\cdc\connectors\sqlserver\table\SqlServerTimezoneITCase.java,org.apache.flink.cdc.connectors.sqlserver.table.SqlServerTimezoneITCase,class,11,12,1,11,10,3,0,29,9,0.7142857,0.0,0.0,7,1,7,0,0,0,7,0,0,0,3,0,1,2,0,0,2,0,14,63,2,0,0,1,1,61,1,18,3,16,1,0,0,0,88,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-runtime\src\main\java\org\apache\flink\cdc\runtime\functions\BuiltInTimestampFunction.java,org.apache.flink.cdc.runtime.functions.BuiltInTimestampFunction,class,5,6,1,5,3,2,0,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,51,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\data\DecimalData.java,org.apache.flink.cdc.common.data.DecimalData,class,7,22,15,7,33,1,0,17,12,0.76470584,0.0,0.0,17,5,16,0,0,1,18,0,0,0,8,4,0,0,0,8,7,0,5,101,21,1,3,0,1,0,13,19,3,13,1,0,0,0,112,17,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\assigners\state\ChunkSplitterState.java,org.apache.flink.cdc.connectors.mysql.source.assigners.state.ChunkSplitterState$ChunkBound,innerclass,3,3,0,3,11,1,0,3,0,0.64285713,0.0,0.0,7,1,7,0,0,0,7,0,0,0,4,2,2,2,0,0,4,0,2,35,8,0,3,0,2,4,0,5,2,5,1,0,0,0,37,25,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\sink\FlinkSinkFunctionProvider.java,org.apache.flink.cdc.common.sink.FlinkSinkFunctionProvider,interface,5,8,3,5,2,1,0,0,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\connection\JdbcConnectionFactory.java,org.apache.flink.cdc.connectors.mysql.source.connection.JdbcConnectionFactory,class,9,11,2,9,6,1,0,11,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,2,35,2,1,0,2,0,3,5,6,3,6,4,0,0,0,48,1,2
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oceanbase-cdc\src\main\java\org\apache\flink\cdc\connectors\oceanbase\utils\OptionUtils.java,org.apache.flink.cdc.connectors.oceanbase.utils.OptionUtils,class,2,4,2,2,3,1,0,5,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,12,0,1,0,0,0,2,0,2,0,2,1,0,0,0,22,1,2
D:\oodassignment2\projects\flink-cdc\flink-cdc-common\src\test\java\org\apache\flink\cdc\common\testutils\assertions\ChangeEventAssert.java,org.apache.flink.cdc.common.testutils.assertions.ChangeEventAssert,class,6,15,9,6,4,2,0,5,3,0.0,0.0,0.0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0,1,0,0,0,34,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-tidb-cdc\src\main\java\org\apache\flink\cdc\connectors\tidb\TiKVRichParallelSourceFunction.java,org.apache.flink.cdc.connectors.tidb.TiKVRichParallelSourceFunction,class,31,33,2,31,39,2,0,66,0,0.76811594,0.0,0.0,12,0,8,1,3,0,11,0,0,0,23,5,0,23,0,0,11,0,11,237,3,7,7,3,0,16,10,52,3,35,3,0,2,1,149,1,12
D:\oodassignment2\projects\flink-cdc\flink-cdc-runtime\src\test\java\org\apache\flink\cdc\runtime\serializer\NullableSerializerWrapperTest.java,org.apache.flink.cdc.runtime.serializer.NullableSerializerWrapperTest,class,3,3,0,3,4,2,0,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,3,2,0,0,0,0,0,0,0,13,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\source\fetch\Db2StreamFetchTask.java,org.apache.flink.cdc.connectors.db2.source.fetch.Db2StreamFetchTask,class,9,10,1,9,5,2,0,10,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,65,2,0,0,0,0,0,0,7,0,5,0,0,2,0,33,1,0
